Year,Veterans_All,Veterans_Female,Veterans_Male,NonVeteran_All,NonVeteran_Female,NonVeteran_Male
2001,23.2,9.4,24.2,12.6,5.2,22.9
2002,24.2,7.9,25.3,13.0,5.4,23.2
2003,23.9,8.9,25.0,12.8,5.4,22.8
2004,24.2,9.5,25.3,13.0,5.8,22.8
2005,24.9,10.3,26.1,12.9,5.6,22.6
2006,24.9,9.5,26.2,13.1,5.8,22.8
2007,26.3,10.2,27.6,13.5,6.0,23.3
2008,28.0,11.7,29.3,13.8,6.1,23.8
2009,28.3,12.6,29.6,14.0,6.2,24.0
2010,28.6,13.0,30.0,14.5,6.4,24.9
2011,28.6,14.2,29.9,14.8,6.6,25.3
2012,28.9,13.0,30.3,15.1,6.8,25.7
2013,29.4,13.4,30.9,15.1,6.9,25.5
2014,30.5,15.4,31.9,15.6,7.2,26.1
2015,30.9,15.9,32.4,16.0,7.6,26.5
2016,30.8,14.4,32.5,16.2,7.5,26.9
2017,32.5,15.6,34.2,16.8,7.5,28.0
2018,33.0,14.7,35.0,17.1,7.6,28.6
2019,32.5,14.7,34.5,16.7,7.3,28.1
2020,32.5,14.1,34.6,16.0,6.7,27.0
2021,33.8,17.5,35.7,16.7,6.9,28.3
2022,34.7,13.7,37.3,17.2,7.2,28.8
2023,35.2,13.9,37.8,16.9,7.2,28.4
