State,n_femur,mean_femur_Pb,median_femur_Pb,pct_chronic,mean_soil_lead_ppm,median_soil_lead_ppm,p90_soil_lead_ppm,n_samples,total_mining_sites,total_lead_zinc_copper_sites,n_counties,log_leadzinc_sites,vet_suicide_rate_2023,male_suicide_rate,log_soil_Pb,log_soil_p90
Alabama,2,45.805,45.805,0.5,21.02605633802817,18.0,30.90000000000001,142,4829,66,78,4.204692619390966,35.7,28.8,3.092226131536093,3.4626060097907994
Alaska,3,15.42,11.52,0.6666666666666666,70.117944727663,16.0,70.0,3727,7,2,6,1.0986122886681098,35.2,44.5,4.264339692133168,4.2626798770413155
Arizona,4,24.5975,21.605,1.0,48.364432468844726,20.0,70.0,5938,12942,4236,29,8.351610750626559,46.7,31.7,3.8992301743670157,4.2626798770413155
Arkansas,1,19.18,19.18,1.0,16.86695278969957,15.0,25.0,233,3759,438,80,6.0844994130751715,51.5,36.5,2.8829527936292747,3.258096538021482
California,120,14.211500000000001,3.4050000000000002,0.30833333333333335,22.587933789954334,16.3,39.0,8760,42766,3508,82,8.163086375583216,26.3,17.5,3.1607353011966524,3.6888794541139363
Colorado,1,0.97,0.97,0.0,126.34635469405468,23.6,100.0,6913,17664,2451,95,7.804659297056102,48.4,34.0,4.846910576705258,4.61512051684126
Florida,19,10.699473684210526,3.74,0.2631578947368421,24.92643540669857,9.0,51.90000000000009,1672,1609,1,79,0.6931471805599453,38.6,24.0,3.25526312024722,3.9684033388642552
Georgia,1,1.17,1.17,0.0,36.30014316392269,30.0,50.0,1397,2642,25,132,3.258096538021482,30.0,24.0,3.618997164817275,3.9318256327243257
Idaho,20,32.417500000000004,27.465,0.65,125.20845850562554,30.0,150.0,10399,10327,1862,56,7.529943370601589,52.1,37.1,4.837934972469824,5.017279836814924
Illinois,1,4.27,4.27,0.0,61.41057046979865,20.0,71.0,596,2289,261,108,5.568344503761097,25.6,19.8,4.133734659583532,4.276666119016055
Iowa,1,6.95,6.95,0.0,20.367392937640872,18.0,24.0,1331,3431,108,104,4.6913478822291435,36.8,27.4,3.0618660655220657,3.2188758248682006
Kansas,7,13.254285714285714,3.91,0.42857142857142855,23.042,20.0,30.0,100,174,4,53,1.6094379124341003,43.4,29.5,3.1798023008820624,3.4339872044851463
Kentucky,16,3.749375,2.3200000000000003,0.125,12.323863636363637,11.0,20.06,528,615,30,117,3.4339872044851463,39.3,30.4,2.589556685842228,3.0473755067058295
Maryland,1,3.38,3.38,0.0,127.56052631578947,50.0,224.7,152,1090,23,23,3.1780538303479458,17.6,17.1,4.856399815352034,5.41920668382349
Massachusetts,1,3.57,3.57,0.0,10.0,15.0,15.0,6,1124,53,15,3.9889840465642745,22.5,14.8,2.3978952727983707,2.772588722239781
Minnesota,4,13.434999999999999,13.959999999999999,0.75,19.33746585735964,15.0,33.0,3954,2334,15,92,2.772588722239781,26.8,22.4,3.0124647937415165,3.5263605246161616
Montana,35,17.88657142857143,13.07,0.6,127.45268667131892,30.0,100.0,2866,10259,2308,74,7.744569809354496,53.9,46.9,4.855560639423716,4.61512051684126
Nebraska,15,24.522,20.62,0.6,7.454938271604939,15.0,23.90000000000001,162,86,2,38,1.0986122886681098,31.7,24.3,2.1347506815083914,3.2148678034706624
Nevada,2,56.66,56.66,0.5,220.06605050178047,20.0,200.0,6178,15408,3192,25,8.068716192714781,61.2,30.0,5.398461527913478,5.303304908059076
New Mexico,1,0.53,0.53,0.0,161.30229946524062,20.0,50.0,1870,8110,1244,38,7.126890808898808,33.5,40.0,5.089460642413037,3.9318256327243257
North Dakota,16,15.78875,11.525,0.5,13.303340122199591,13.0,19.0,2455,322,0,46,0.0,40.0,35.8,2.6604930849704655,2.995732273553991
Oregon,2,63.39,63.39,1.0,12.334324553950722,13.0,19.0,2354,16395,1461,40,7.2875606403097235,42.9,31.299999999999997,2.590341504228935,2.995732273553991
Pennsylvania,18,12.226111111111111,8.47,0.4444444444444444,66.62504694835681,30.9,145.75,426,2797,99,70,4.605170185988092,38.6,23.7,4.213978431411976,4.988730458708206
South Carolina,1,8.95,8.95,0.0,21.392750533049043,16.0,43.0,938,1754,123,51,4.820281565605037,33.2,27.7,3.1087372695618116,3.784189633918261
South Dakota,40,29.91175,15.989999999999998,0.675,15.71948717948718,15.0,21.54,195,2475,37,66,3.6375861597263857,39.1,36.6,2.8165749361028856,3.11529150861163
Utah,21,15.176666666666666,15.1,0.6190476190476191,49.54754777070064,30.0,70.0,1256,13707,2310,48,7.745435610274381,59.5,33.4,3.9229144333244172,4.2626798770413155
Virginia,32,16.860937500000002,9.365,0.46875,24.09817997977755,15.0,35.0,989,4483,452,135,6.115892125483034,25.0,23.5,3.222795332742871,3.58351893845611
Washington,16,4.99375,2.495,0.125,16.292016925246827,10.0,27.0,709,11079,2627,47,7.873978379604501,36.4,26.3,2.850244945595493,3.332204510175204
West Virginia,4,21.225,21.465,1.0,41.90979381443299,26.0,55.930000000000014,194,316,2,39,1.0986122886681098,55.6,32.7,3.7591000939215786,4.0418224429629905
Wisconsin,5,19.514,22.57,0.8,70.836171875,15.0,30.0,1792,6158,811,72,6.699500340161678,39.4,28.1,4.274388135756222,3.4339872044851463
Wyoming,38,29.248684210526317,14.605,0.6052631578947368,42.35616712079927,20.0,50.0,2202,5173,250,32,5.5254529391317835,45.7,50.5,3.769448956563642,3.9318256327243257
