state_abbrev,state_fips,lead_violation_count,systems_with_violations,total_pop_affected,health_based_violations,lcr_sample_count,systems_sampled,mean_lead_level_mg_L,median_lead_level_mg_L,max_lead_level_mg_L,pct_exceeding_action_level
07,,15,6,12781,7,41,11,0.002853,0.00137,0.0186,2.44
AK,02,1496,225,1347288,484,2823,690,0.004493,0.002,0.236,4.5
AL,01,564,151,7402894,103,2074,542,0.002124,0.0011,0.084,0.63
AR,05,855,114,2133465,835,1258,297,0.005272,0.001,0.984,3.9
AS,60,95,10,258852,31,139,10,0.009882,0.0005,1.2,2.16
AZ,04,987,362,6305349,170,4971,1045,0.002655,0.00028,0.31,2.33
CA,06,1514,502,9329396,1703,17936,4631,0.007399,0.0,35.2,3.12
CO,08,1046,465,2966433,361,10077,1360,0.00267,0.0015,0.2585,1.5
CT,09,432,198,1103541,50,10429,1428,0.004983,0.0013,8.3,2.64
DC,11,5,2,83583,2,34,5,0.001827,0.002,0.005,0.0
DE,10,149,66,530749,17,1904,447,0.003611,0.0013,0.27,3.89
FL,12,2942,960,50648603,1056,9143,2520,0.003473,0.0011,2.2,2.03
GA,13,542,229,4707369,378,6104,1966,0.003139,0.0012,0.21,4.03
GU,66,1,1,12780,1,22,8,0.001578,0.0011,0.0074,0.0
HI,15,11,9,74070,1,283,132,0.000838,0.0,0.038175,1.41
IA,19,229,174,563507,28,4544,1258,0.002898,0.0017,0.29,1.5
ID,16,150,111,400734,9,4655,1070,0.002731,0.001,0.147,2.13
IL,17,903,526,3570210,216,10838,2276,0.003106,0.001,0.65,2.57
IN,18,477,231,1891563,174,3636,1396,0.003066,0.00112,0.26,3.25
KS,20,1009,334,1760641,659,3865,903,0.002764,0.0017,0.1659,1.6
KY,21,633,156,5535743,469,1375,396,0.001717,0.0,0.038,0.44
LA,22,4374,700,11239673,3425,4053,1175,0.002098,0.001,0.144,1.43
MA,25,69,63,3272856,131,5068,823,0.00481,0.002,2.79,3.71
MD,24,55,114,802597,52,2886,1006,0.004478,0.001,1.36,3.64
ME,23,249,94,450691,126,4846,859,0.004943,0.001625,1.72,3.92
MI,26,361,389,4501912,46,5523,2002,0.004284,0.0011,0.888,5.4
MN,27,74,62,687634,13,3858,1469,0.002558,0.001,0.313,2.18
MO,29,869,267,1832240,586,10891,1745,0.002891,0.00154,2.75,1.12
MP,69,59,28,15909,0,289,66,0.003785,0.0015,0.06,5.19
MS,28,1470,802,5613577,426,4191,1131,0.002404,0.0012,0.11,2.03
MT,30,369,165,309928,109,3635,1116,0.002577,0.001,0.163,1.95
NC,37,1314,592,5316520,459,7591,2489,0.002284,0.0,1.03,1.88
ND,38,33,17,12530,21,1367,337,0.002559,0.00112,0.066,2.41
NE,31,27,7,181741,25,2951,753,0.002726,0.00165,0.1275,1.29
NH,33,194,92,544108,110,419,172,0.031091,0.005,2.1,42.0
NJ,34,486,258,9650538,108,9373,1405,0.004238,0.0012,3.214,3.51
NM,35,1299,393,2935226,335,1971,641,0.004506,0.0018,0.55,4.41
NN,00,253,103,539172,89,715,170,0.003814,0.0011,0.14,4.62
NV,32,156,92,343310,28,1802,391,0.002586,0.001,0.34,1.89
NY,36,1227,786,6404864,823,12262,3047,0.008598,0.002,25.0,3.6
OH,39,878,352,3413055,511,13093,1955,0.001887,0.0,0.924,0.84
OK,40,9233,645,22620204,7738,4756,1146,0.002842,0.0,1.785,2.46
OR,41,726,305,1526362,119,5889,1345,0.003367,0.00139,0.754,3.14
PA,42,2948,1330,11209320,417,2078,708,0.019237,0.0022,3.428,23.44
PR,72,508,112,43916197,347,294,141,0.007247,0.005,0.161,6.46
RI,44,77,27,1111799,39,593,140,0.006266,0.002,0.199,11.64
SC,45,162,53,952554,136,2950,704,0.004557,0.0013,1.68,4.47
SD,46,42,33,150714,12,1515,500,0.002732,0.002,0.054,0.4
TN,47,274,172,2591672,141,2192,517,0.002309,0.001,0.561,0.87
TX,48,4089,905,17901547,5140,16092,5776,0.002584,0.00083,1.2767,2.47
UT,49,201,131,797907,14,1575,567,0.003634,0.002154,0.147,3.43
VA,51,481,241,2126234,284,6661,1664,0.004277,0.00103,7.9,2.75
VI,78,3,3,240,0,40,24,0.014385,0.00425,0.108,27.5
VT,50,227,165,316696,10,3621,695,0.00741,0.002,2.5,6.71
WA,53,912,420,2875204,230,7567,2591,0.002574,0.0014,0.2364,1.04
WI,55,206,149,1532663,21,8539,2136,0.003778,0.0014,2.157,2.75
WV,54,1715,410,2771067,249,3250,551,0.00247,0.0011,0.334,1.51
WY,56,198,83,256771,100,1927,440,0.003063,0.002,0.217,1.82
