County,Beaver,Box Elder,Cache,Carbon,Daggett,Davis,Duchesne,Emery,Garfield,Grand,Iron,Juab,Kane,Millard,Morgan,Piute,Rich,Salt Lake,San Juan,Sanpete,Sevier,Summit,Tooele,Uintah,Utah,Wasatch,Washington,Wayne,Weber
2000,2,49,73,12,0,255,15,2,2,4,31,31,4,3,4,0.0,1,1591,4,22,10,9,40,61,343,6,18,2,357
2001,0,47,64,1,1,266,14,0,0,2,16,24,0,3,10,0.0,0,1831,1,32,27,14,30,79,223,4,12,0,380
2002,0,23,69,2,0,225,27,1,0,1,12,17,1,0,2,0.0,0,1669,0,19,10,16,34,85,176,3,8,0,408
2003,0,9,45,2,0,170,12,2,0,2,2,23,0,0,13,1.0,0,1256,1,22,8,35,21,16,155,3,4,2,344
2004,0,23,37,14,0,133,1,1,1,0,0,17,0,1,0,0.0,0,839,0,8,3,25,14,4,158,6,6,0,194
2005,1,38,36,9,1,129,0,1,0,0,0,14,0,1,2,0.0,0,581,2,7,4,19,17,1,145,2,0,0,216
2006,0,22,29,13,0,161,1,2,0,2,1,5,1,1,4,0.0,0,634,14,8,5,11,13,0,119,3,2,1,281
2007,1,33,24,13,0,226,2,6,0,4,0,21,0,2,6,0.0,0,827,21,2,0,8,13,0,124,2,0,1,363
2008,0,42,29,15,0,211,0,4,0,1,1,7,1,3,4,0.0,0,1364,30,3,3,10,9,1,149,1,2,0,280
2009,0,26,33,5,0,133,0,1,0,2,0,18,0,0,2,,0,1147,22,1,2,8,6,2,121,0,0,0,100
