state,n_samples,mean_soil_lead_ppm,median_soil_lead_ppm,p75_soil_lead_ppm,p90_soil_lead_ppm,max_soil_lead_ppm
AK,3727,70.117944727663,16.0,29.0,70.0,20000.11
AL,142,21.026056338028166,18.0,22.75,30.900000000000006,190.0
AR,233,16.86695278969957,15.0,20.0,25.0,70.0
AZ,5938,48.364432468844726,20.0,30.0,70.0,7000.0
CA,8760,22.587933789954338,16.3,22.0,39.0,2353.9
CO,6913,126.34635469405468,23.6,50.0,100.0,25600.0
CT,10,70.2,50.0,93.5,108.19999999999996,218.0
DE,2,15.0,15.0,17.5,19.0,20.0
FL,1672,24.926435406698566,9.0,19.0,51.90000000000009,3900.0
GA,1397,36.30014316392269,30.0,50.0,50.0,7000.0
GU,25,17.044,18.0,22.0,23.200000000000003,77.0
HI,17,23.741176470588236,20.0,31.0,47.800000000000004,57.0
IA,1331,20.367392937640872,18.0,21.0,24.0,1450.0
ID,10399,125.20845850562554,30.0,70.0,150.0,410000.0
IL,596,61.41057046979865,20.0,33.0,71.0,1910.0
IN,236,24.465677966101694,19.0,25.25,41.0,319.0
KS,100,23.041999999999998,20.0,28.35,30.0,150.0
KY,528,12.323863636363637,11.0,16.0,20.060000000000002,70.0
LA,97,16.329896907216494,15.0,20.0,27.80000000000001,50.0
MA,6,10.0,15.0,15.0,15.0,15.0
MD,152,127.56052631578947,50.0,130.0,224.70000000000002,1510.0
ME,14,19.285714285714285,17.5,20.0,30.0,30.0
MI,5111,23.370886323615732,20.0,30.0,30.0,500.0
MN,3954,19.337465857359636,15.0,20.0,33.0,616.59
MO,2649,36.22657606644017,20.0,30.0,30.0,7000.0
MS,74,19.0,20.0,24.0,31.0,50.0
MT,2866,127.45268667131892,30.0,50.0,100.0,48800.0
NC,4744,24.539973545531197,19.0,30.0,50.0,2000.0
ND,2455,13.303340122199593,13.0,15.0,19.0,85.0
NE,162,7.454938271604939,15.0,21.0,23.900000000000006,30.0
NH,62,21.451612903225808,20.0,30.0,30.0,70.0
NJ,68,24.908823529411762,15.0,20.0,32.70000000000008,200.0
NM,1870,161.30229946524062,20.0,30.0,50.0,230000.0
NV,6178,220.06605050178052,20.0,50.0,200.0,20000.11
NY,296,60.92972972972973,30.0,100.0,150.0,500.0
OH,441,19.73015873015873,18.0,22.0,27.0,165.0
OK,348,12.855747126436782,13.0,16.0,20.0,50.0
OR,2354,12.334324553950722,13.0,16.0,19.0,160.0
PA,426,66.62504694835681,30.9,70.0,145.75,1270.0
PR,5322,11.681285231116123,10.0,15.0,30.0,2000.0
PW,35,-5.571428571428571,-10.0,-10.0,10.0,30.0
SC,938,21.392750533049043,16.0,24.0,43.0,770.0
SD,195,15.71948717948718,15.0,17.65,21.54,84.0
TN,342,36.780701754385966,30.0,50.0,50.0,300.0
TX,397,19.56675062972292,15.0,19.7,28.880000000000006,300.0
UT,1256,49.54754777070064,30.0,50.0,70.0,1000.0
VA,989,24.09817997977755,15.0,22.0,35.0,1200.0
VI,555,26.936936936936938,15.0,20.0,50.0,3000.0
VT,614,35.42182410423453,30.0,50.0,70.0,150.0
WA,709,16.292016925246827,10.0,15.0,27.0,1000.0
WI,1792,70.836171875,15.0,20.0,30.0,15000.0
WV,194,41.90979381443299,26.0,36.0,55.930000000000014,712.9
WY,2202,42.35616712079927,20.0,30.0,50.0,10000.0
